parsed 132 samples
runner               target       | cpu_med p90 max | wall_med p90 max | n
native-direct        large-500k   |      11  17  48 |      531 703 749 | 11
native-direct        large-5mb    |      55  87  88 |      631 893 1630 | 11
native-direct        upload-500k  |       8  10  12 |      387 430 615 | 11
native-direct        upload-5mb   |      15  43  52 |      616 687 723 | 11
rustls-direct        large-500k   |      92 148 155 |      590 787 817 | 11
rustls-direct        large-5mb    |     596 704 715 |     1028 1142 1186 | 11
rustls-direct        upload-500k  |      59  77 117 |      430 463 522 | 11
rustls-direct        upload-5mb   |     336 418 431 |      771 813 828 | 11
userspace-direct     large-500k   |     108 574 595 |      576 951 1009 | 11
userspace-direct     large-5mb    |     365 390 396 |      791 888 916 | 11
userspace-direct     upload-500k  |     114 132 579 |      469 687 1069 | 11
userspace-direct     upload-5mb   |     738 846 1375 |     1294 1485 1998 | 11
